Medicine_Name,Current_Stock,Days_Until_Expiry,Average_Daily_Usage
Zinc Acetate,453,338,1.25
Tramadol,306,39,9.06
Morphine,198,113,1.42
Diclofenac,432,54,6.42
Warfarin,74,264,0.24
Haloperidol,106,236,0.39
Acyclovir,336,16,20.32
Clotrimazole,494,220,2.0
Vancomycin,100,92,1.09
Tinidazole,136,304,0.42
Norfloxacin,359,291,1.19
Ceftriaxone,415,299,1.5
Dopamine,37,216,0.2
Tinidazole,218,353,0.61
Cyclizine,305,92,2.95
Dopamine,441,194,2.44
Montelukast,50,18,2.54
Ciprofloxacin,376,132,3.17
Salmeterol,233,363,0.54
Cefixime,236,241,0.87
Pantoprazole,297,230,1.11
Gabapentin,70,93,0.68
Carbamazepine,289,73,4.27
Levothyroxine,325,95,3.7
Naloxone,441,85,5.07
Meropenem,10,279,0.03
Doxycycline,69,280,0.24
Metformin,453,36,12.08
Chlorpheniramine,402,284,1.62
Betamethasone,177,81,2.54
Diazepam,422,237,1.99
Clotrimazole,426,135,3.14
Gabapentin,63,270,0.27
Acyclovir,189,108,1.94
Levothyroxine,358,289,1.28
Chloroquine,87,292,0.27
Paracetamol,315,40,8.96
Pantoprazole,251,67,3.87
Artemether,64,231,0.28
Fentanyl,244,325,0.83
Noradrenaline,253,231,1.0
Linezolid,199,246,0.9
Mebendazole,432,221,2.05
Amlodipine,69,350,0.2
Hydroxychloroquine,261,260,1.01
Azithromycin,472,352,1.48
Warfarin,406,33,11.15
Ketoconazole,325,310,1.25
Doxycycline,329,98,3.95
Betamethasone,324,183,1.91
Haloperidol,187,285,0.56
Lithium,132,287,0.51
Fentanyl,311,200,1.79
Beclomethasone,63,27,2.64
Dopamine,171,230,0.6
Levothyroxine,442,133,2.9
Lithium,192,253,0.83
Mebendazole,147,102,1.73
Quetiapine,71,103,0.72
Pantoprazole,325,81,4.01
Pseudoephedrine,112,196,0.58
Clotrimazole,387,30,13.64
Phenylephrine,406,234,2.04
Ketoconazole,124,223,0.62
Hydrochlorothiazide,156,188,0.92
Pyrazinamide,434,75,6.31
Meropenem,289,352,0.75
Carbamazepine,186,54,4.13
Paracetamol,277,359,0.81
Nitrofurantoin,110,253,0.5
Doxycycline,319,123,2.29
Gabapentin,390,102,4.55
Theophylline,64,203,0.32
Norfloxacin,44,197,0.18
Warfarin,446,193,2.1
Acyclovir,74,221,0.31
Adrenaline,86,285,0.35
Montelukast,447,126,4.06
Budesonide,230,48,5.07
Artemether,267,14,19.58
Azithromycin,20,250,0.09
Haloperidol,467,330,1.26
Erythromycin,86,263,0.3
Codeine,219,300,0.67
Dexamethasone,162,172,0.77
Amoxicillin,39,251,0.16
Pantoprazole,250,254,1.09
Naloxone,27,274,0.09
Codeine,292,219,1.42
Prednisone,301,128,2.55
Sertraline,297,35,8.86
Phenytoin,155,198,0.72
Naproxen,4,47,0.07
Chlorpheniramine,76,245,0.34
Salmeterol,20,49,0.36
Fentanyl,469,236,2.18
Linezolid,417,351,1.41
Quetiapine,211,221,1.1
Norfloxacin,23,351,0.07
Azithromycin,87,335,0.29
Formoterol,178,230,0.67
Escitalopram,108,108,1.12
Losartan,132,159,0.85
Fluoxetine,215,279,0.74
Haloperidol,407,44,10.25
Domperidone,365,358,0.88
Azithromycin,161,182,0.84
Mebendazole,266,81,3.92
Mebendazole,297,27,11.17
Diclofenac,329,73,5.03
Lisinopril,287,143,1.83
Hydroxychloroquine,143,106,1.22
Risperidone,281,143,1.63
Chloroquine,410,336,1.38
Beclomethasone,402,23,18.18
Clotrimazole,392,112,3.56
Clotrimazole,1,168,0.01
Furosemide,335,78,4.65
Haloperidol,262,336,0.77
Lisinopril,112,102,1.3
Artemether,161,206,0.83
Oseltamivir,138,209,0.57
Adrenaline,71,178,0.46
Lumefantrine,90,356,0.24
Quetiapine,389,244,1.62
Ivermectin,371,28,13.58
Furosemide,359,131,2.34
Prednisone,326,139,2.19
Ibuprofen,382,59,6.48
Salmeterol,48,48,0.94
Quetiapine,73,191,0.32
Salbutamol,439,189,1.99
Fentanyl,156,272,0.63
Codeine,391,138,2.83
Pyrazinamide,264,277,0.97
Vancomycin,175,305,0.65
Cyclizine,336,83,4.42
Vitamin D,287,235,1.42
Amlodipine,441,161,2.3
Cyclizine,385,133,2.47
Nitrofurantoin,412,287,1.35
Acyclovir,100,147,0.56
Azithromycin,398,169,2.33
Loratadine,458,93,4.57
Adrenaline,97,107,0.86
Cyclizine,353,334,0.98
Diazepam,483,316,1.33
Noradrenaline,227,157,1.29
Salmeterol,441,305,1.16
Doxycycline,430,171,2.39
Budesonide,156,151,1.0
Amoxicillin,16,343,0.04
Linezolid,82,138,0.62
Prednisone,264,66,4.8
Budesonide,336,164,2.35
Hydroxychloroquine,261,105,2.12
Naloxone,463,53,7.53
Simvastatin,180,56,2.78
Calcium Carbonate,86,17,5.69
Loratadine,161,244,0.61
Salmeterol,143,217,0.74
Tamsulosin,98,262,0.4
Ivermectin,439,363,1.36
Ethambutol,167,162,1.18
Naproxen,151,152,0.96
Montelukast,116,355,0.26
Simvastatin,203,184,0.94
Lorazepam,379,120,3.5
Vancomycin,473,345,1.48
Quetiapine,337,243,1.6
Isoniazid,442,295,1.66
Spironolactone,441,290,1.59
Cetirizine,61,167,0.35
Metformin,295,284,1.22
Escitalopram,426,50,7.3
Atorvastatin,183,285,0.58
Levothyroxine,187,318,0.56
Clozapine,162,42,4.62
Risperidone,115,244,0.39
Pyrazinamide,145,39,3.58
Ranitidine,193,227,0.95
Hydrochlorothiazide,475,292,1.53
Isoniazid,228,342,0.76
Chloroquine,95,344,0.31
Hydroxychloroquine,167,196,0.69
Norfloxacin,249,125,2.22
Morphine,332,79,4.95
Montelukast,74,272,0.33
Prednisone,105,31,3.92
Naproxen,105,37,2.53
Ofloxacin,491,211,2.06
Erythromycin,99,42,2.39
Oseltamivir,103,227,0.42
Naproxen,465,160,2.56
Artemether,429,215,1.74
Diclofenac,297,100,2.89
Vancomycin,491,317,1.35
Olanzapine,5,202,0.03
Noradrenaline,28,72,0.42
Haloperidol,477,270,1.65
Budesonide,316,20,13.18
Cyclizine,452,265,1.61
Diazepam,327,269,1.3
Dexamethasone,8,260,0.04
Betamethasone,168,207,0.9
Oseltamivir,466,141,3.39
Fluoxetine,442,55,6.8
Budesonide,388,199,1.77
Chloroquine,296,69,4.75
Paracetamol,104,36,2.68
Chloroquine,437,166,2.61
Sertraline,205,93,2.36
Ondansetron,268,249,0.99
Tramadol,261,127,1.73
Tinidazole,296,52,5.61
Tamsulosin,458,79,5.56
Betamethasone,495,66,7.7
Amoxicillin,443,358,1.38
Lumefantrine,253,332,0.86
Ketoconazole,338,186,2.07
Pseudoephedrine,91,256,0.35
Meropenem,108,158,0.67
Ondansetron,195,346,0.57
Escitalopram,239,218,0.9
Rifampicin,419,30,15.34
Calcium Carbonate,181,212,0.77
Pantoprazole,451,169,2.44
Budesonide,119,189,0.75
Betamethasone,178,186,1.11
Clotrimazole,361,286,1.19
Diclofenac,206,266,0.9
Ibuprofen,395,341,0.93
Vancomycin,449,138,3.2
Tamsulosin,251,151,1.56
Ranitidine,424,45,11.01
Sertraline,153,275,0.48
Escitalopram,316,310,1.12
Cetirizine,37,181,0.18
Valproate,311,12,23.67
Pantoprazole,481,23,19.69
Phenytoin,276,281,0.85
Azithromycin,125,164,0.62
Azithromycin,13,303,0.04
Naproxen,36,159,0.19
Azithromycin,190,249,0.75
Clopidogrel,271,222,0.99
Escitalopram,223,75,3.53
Mebendazole,377,76,4.45
Domperidone,432,149,2.66
Loratadine,439,37,11.88
Atorvastatin,30,232,0.12
Phenytoin,361,168,1.84
Pantoprazole,160,75,1.92
Montelukast,211,19,9.23
Adrenaline,119,220,0.64
Furosemide,343,328,1.07
Cefixime,392,207,2.26
Gabapentin,175,11,15.53
Naloxone,409,27,14.59
Linezolid,351,133,2.46
Haloperidol,217,192,1.27
Chlorpheniramine,339,206,1.91
Pyrazinamide,45,245,0.19
Zinc Acetate,455,239,2.12
Diazepam,289,80,3.79
Simvastatin,302,273,1.03
Haloperidol,287,30,7.93
Clotrimazole,269,358,0.75
Ceftriaxone,229,272,0.75
Codeine,132,220,0.69
Amoxicillin,456,363,1.34
Warfarin,320,302,1.2
Tazobactam,399,263,1.49
Lisinopril,480,181,2.99
Lisinopril,171,189,0.85
Budesonide,277,352,0.72
Granisetron,437,350,1.3
Loratadine,160,127,1.03
Montelukast,335,187,2.05
Levothyroxine,298,350,0.69
Nitrofurantoin,240,274,1.04
Tinidazole,204,341,0.68
Fentanyl,234,66,3.32
Lisinopril,388,319,1.21
Oseltamivir,51,303,0.2
Salmeterol,448,328,1.55
Levofloxacin,444,268,1.54
Ondansetron,229,51,5.04
Nitrofurantoin,41,246,0.18
Losartan,385,107,3.58
Metronidazole,10,135,0.07
Fluoxetine,343,337,1.15
Gabapentin,317,128,2.06
Oseltamivir,162,276,0.51
Simvastatin,413,287,1.52
Morphine,32,94,0.35
Vancomycin,374,18,19.85
Cefixime,167,232,0.68
Domperidone,231,124,2.07
Meropenem,36,97,0.38
Valproate,270,280,0.95
Simvastatin,198,282,0.63
Norfloxacin,17,196,0.09
Amoxicillin,8,169,0.04
Escitalopram,391,32,11.49
Phenytoin,235,126,1.97
Valproate,148,202,0.74
Ofloxacin,245,58,4.18
Fluoxetine,162,244,0.63
Fentanyl,40,104,0.46
Paracetamol,314,105,2.6
Codeine,16,247,0.05
Piperacillin,23,17,1.22
Tramadol,293,353,0.81
Salmeterol,140,350,0.4
Warfarin,191,332,0.66
Formoterol,74,125,0.53
Diazepam,357,353,1.13
Olanzapine,253,37,5.89
Codeine,64,294,0.18
Fentanyl,253,70,4.09
Vitamin D,351,155,2.57
Simvastatin,101,351,0.24
Haloperidol,387,319,1.05
Pantoprazole,372,350,0.96
Midazolam,249,291,0.82
Ketoconazole,404,75,5.7
Beclomethasone,429,229,1.76
Fluoxetine,56,22,2.76
Metformin,475,333,1.49
Salbutamol,17,95,0.14
Dexamethasone,431,238,1.58
Ibuprofen,144,135,1.25
Lorazepam,29,37,0.63
Lithium,233,142,1.47
Simvastatin,234,155,1.61
Cefixime,48,67,0.69
Spironolactone,335,322,0.86
Hydrochlorothiazide,30,41,0.75
Vitamin D,61,25,2.4
Gabapentin,477,228,1.72
Valproate,279,298,0.87
Azithromycin,463,102,4.12
Amoxicillin,279,90,2.9
Sertraline,183,48,4.33
Hydrochlorothiazide,128,123,1.16
Alprazolam,280,40,8.34
Loratadine,403,265,1.78
Naproxen,452,63,8.34
Vancomycin,16,257,0.07
Loratadine,413,171,2.55
Theophylline,239,360,0.69
Rifampicin,238,318,0.69
Acyclovir,18,75,0.23
Azithromycin,107,163,0.63
Rifampicin,68,235,0.29
Oseltamivir,331,148,1.98
Formoterol,393,75,5.23
Tramadol,444,118,3.26
Calcium Carbonate,120,344,0.37
Escitalopram,156,301,0.5
Chlorpheniramine,329,351,0.86
Lumefantrine,332,229,1.36
Metronidazole,70,78,0.96
Ciprofloxacin,451,340,1.26
Pyrazinamide,444,117,3.6
Ceftriaxone,266,218,1.26
Ondansetron,174,248,0.63
Norfloxacin,70,174,0.41
Naproxen,420,137,3.59
Betamethasone,162,328,0.43
Escitalopram,430,44,7.83
Chloroquine,275,70,3.38
Chlorpheniramine,303,189,1.74
Erythromycin,277,96,2.64
Lorazepam,153,221,0.73
Lorazepam,329,277,1.37
Piperacillin,285,43,5.99
Codeine,420,192,2.01
Alprazolam,108,301,0.32
Haloperidol,411,29,15.93
Clopidogrel,345,283,1.16
Clopidogrel,191,95,1.66
Gabapentin,135,155,0.82
Chloroquine,484,308,1.67
Domperidone,232,264,1.01
Naloxone,144,230,0.58
Ranitidine,31,205,0.14
Diclofenac,87,258,0.34
Ivermectin,451,316,1.71
Ofloxacin,94,307,0.33
Oseltamivir,197,183,1.06
Spironolactone,340,137,2.57
Calcium Carbonate,461,94,5.39
Clozapine,442,290,1.78
Metronidazole,119,320,0.32
Granisetron,111,297,0.36
Salmeterol,325,211,1.72
Formoterol,484,246,1.81
Ceftriaxone,457,49,9.33
Amlodipine,486,199,2.74
Loratadine,314,83,3.6
Pyrazinamide,426,114,3.16
Insulin,312,86,2.96
Linezolid,485,93,4.63
Haloperidol,38,106,0.31
Ranitidine,107,122,0.85
Vitamin D,216,195,0.91
Ethambutol,115,224,0.6
Norfloxacin,118,202,0.67
Paracetamol,103,225,0.43
Fluoxetine,421,18,26.87
Zinc Acetate,189,132,1.55
Salmeterol,347,268,1.35
Gabapentin,462,96,4.85
Warfarin,198,296,0.73
Paracetamol,178,207,0.8
Lisinopril,286,317,0.93
Cyclizine,42,266,0.14
Azithromycin,381,337,1.16
Levofloxacin,209,166,1.09
Naproxen,264,188,1.25
Prednisone,229,153,1.6
Metformin,60,181,0.38
Amlodipine,69,135,0.54
Gabapentin,179,157,1.23
Fentanyl,265,116,2.56
Erythromycin,134,54,2.1
Ketoconazole,304,105,2.39
Risperidone,28,289,0.11
Meropenem,254,75,3.29
Diazepam,374,184,2.23
Meropenem,366,266,1.63
Diazepam,309,127,2.05
Meropenem,436,258,2.01
Clotrimazole,77,97,0.86
Omeprazole,425,131,3.53
Ethambutol,53,150,0.36
Levofloxacin,287,45,7.5
Simvastatin,107,122,0.98
Levofloxacin,445,289,1.64
Dopamine,392,242,1.78
Ciprofloxacin,453,199,2.59
Cyclizine,261,236,1.17
Ivermectin,324,15,19.07
Quetiapine,116,171,0.7
Adrenaline,224,126,1.86
Codeine,247,312,0.7
Ofloxacin,167,212,0.9
Pyrazinamide,165,122,1.3
Rifampicin,487,354,1.11
Haloperidol,304,328,0.78
Ceftriaxone,223,175,1.14
Budesonide,11,242,0.05
Metronidazole,478,239,1.68
Hydroxychloroquine,405,330,1.18
Mebendazole,313,254,1.2
Diclofenac,448,102,4.43
Rifampicin,378,265,1.3
Metronidazole,465,26,18.35
Amoxicillin,52,180,0.27
Simvastatin,499,180,3.3
Carbamazepine,475,339,1.47
Pantoprazole,25,296,0.07
Amoxicillin,461,286,1.3
Oseltamivir,202,226,0.72
Diclofenac,132,144,0.77
Tinidazole,142,187,0.74
Clotrimazole,458,37,12.18
Ceftriaxone,249,113,2.39
Naproxen,314,246,1.04
Tramadol,409,345,1.4
Warfarin,234,160,1.49
Oseltamivir,121,274,0.37
Doxycycline,271,259,1.25
Dexamethasone,442,268,1.51
Paracetamol,54,278,0.2
Meropenem,275,258,0.86
Ceftriaxone,81,70,1.12
Loratadine,470,223,2.09
Cyclizine,253,329,0.85
Erythromycin,387,226,1.78
Pseudoephedrine,37,232,0.19
Midazolam,239,70,3.99
Carbamazepine,124,346,0.34
Mebendazole,351,126,2.66
Budesonide,471,61,7.5
Formoterol,281,234,1.23
Ceftriaxone,349,315,1.09
Lorazepam,431,79,5.21
Simvastatin,52,89,0.57
Ivermectin,170,187,1.04
Budesonide,266,322,0.95
Hydrochlorothiazide,102,200,0.46
Domperidone,462,282,1.63
Amoxicillin,403,29,11.71
Dopamine,216,278,0.72
Hydroxychloroquine,361,229,1.32
Doxycycline,296,45,6.75
Carbamazepine,238,364,0.78
Hydrochlorothiazide,240,59,3.76
Levothyroxine,68,92,0.73
Valproate,446,65,5.56
Tazobactam,339,56,5.37
Haloperidol,102,354,0.28
Chlorpheniramine,50,70,0.58
Azithromycin,259,240,1.25
Chloroquine,93,240,0.41
Amlodipine,360,335,0.99
Fluoxetine,351,187,1.9
Ciprofloxacin,332,237,1.21
Cyclizine,386,49,9.28
Escitalopram,428,28,17.12
Acyclovir,421,350,0.99
Norfloxacin,368,291,1.29
Adrenaline,159,182,0.79
Norfloxacin,380,361,1.17
Oseltamivir,101,356,0.31
Ketoconazole,250,65,3.22
Ondansetron,298,280,0.95
Acyclovir,429,208,2.1
Codeine,329,146,2.2
Noradrenaline,106,197,0.58
Lisinopril,498,349,1.7
Salbutamol,158,152,0.94
Ethambutol,499,251,1.7
Tamsulosin,6,287,0.02
Montelukast,191,63,2.57
Lisinopril,185,240,0.65
Midazolam,123,138,0.83
Mebendazole,29,306,0.09
Amoxicillin,19,77,0.29
Clotrimazole,322,307,1.03
Granisetron,192,103,1.64
Clozapine,73,227,0.28
Olanzapine,438,306,1.39
Oseltamivir,194,283,0.74
Amoxicillin,275,14,20.71
Ibuprofen,145,318,0.47
Amoxicillin,152,92,1.56
Amoxicillin,398,355,1.26
Metronidazole,144,308,0.41
Prednisone,440,164,3.16
Clotrimazole,93,268,0.39
Domperidone,140,280,0.5
Warfarin,9,170,0.06
Furosemide,491,213,2.5
Betamethasone,154,213,0.75
Phenytoin,329,110,3.03
Tinidazole,56,214,0.31
Isoniazid,95,55,2.04
Amlodipine,195,152,1.37
Ondansetron,326,310,1.01
Alprazolam,244,206,1.16
Omeprazole,189,43,3.61
Ethambutol,189,182,0.98
Spironolactone,489,298,1.73
Tazobactam,308,16,17.59
Oseltamivir,128,164,0.87
Nitrofurantoin,183,253,0.79
Tinidazole,21,52,0.42
Furosemide,220,223,0.89
Artemether,164,173,1.0
Dexamethasone,432,261,1.66
Ranitidine,142,354,0.36
Meropenem,342,256,1.49
Zinc Acetate,486,36,15.96
Olanzapine,340,286,1.27
Vitamin D,468,132,3.4
Warfarin,404,160,2.36
Ofloxacin,37,87,0.37
Risperidone,487,198,2.64
Vancomycin,77,204,0.39
Oseltamivir,332,109,3.04
Risperidone,242,203,1.18
Naproxen,329,279,1.35
Mebendazole,207,201,0.97
Cefixime,134,335,0.46
Phenytoin,395,65,7.03
Ofloxacin,347,224,1.59
Losartan,95,63,1.37
Rifampicin,115,135,0.89
Amoxicillin,205,214,1.05
Vancomycin,125,112,1.15
Hydroxychloroquine,482,273,1.67
Fluoxetine,128,351,0.31
Gabapentin,369,71,5.07
Haloperidol,351,42,7.0
Morphine,101,141,0.85
Carbamazepine,305,276,1.25
Naloxone,181,103,1.84
Noradrenaline,395,119,3.28
Artemether,52,36,1.61
Vancomycin,292,272,1.04
Diazepam,134,43,3.65
Valproate,31,52,0.6
Alprazolam,318,260,1.31
Fentanyl,475,152,3.48
Montelukast,471,111,3.5
Domperidone,490,274,1.9
Ibuprofen,335,83,3.56
Prednisone,115,304,0.43
Zinc Acetate,479,150,3.6
Fentanyl,271,265,1.14
Granisetron,404,355,1.12
Lorazepam,275,125,2.17
Amlodipine,281,91,3.1
Lisinopril,1,95,0.01
Escitalopram,183,287,0.76
Valproate,18,219,0.07
Lumefantrine,139,109,1.19
Midazolam,224,37,5.15
Isoniazid,237,31,6.49
Phenytoin,218,286,0.85
Salbutamol,430,329,1.42
Cetirizine,321,146,1.76
Azithromycin,155,75,2.38
Valproate,73,132,0.61
Budesonide,28,124,0.22
Warfarin,476,344,1.45
Formoterol,238,59,4.66
Hydrochlorothiazide,49,185,0.23
Isoniazid,482,54,10.06
Clopidogrel,17,249,0.06
Loratadine,242,11,23.27
Adrenaline,190,364,0.43
Ciprofloxacin,258,32,9.0
Omeprazole,184,356,0.5
Clopidogrel,309,215,1.7
Amlodipine,170,97,1.89
Ethambutol,311,308,0.83
Isoniazid,153,212,0.59
Ivermectin,440,69,6.35
Levothyroxine,431,228,1.55
Ibuprofen,271,249,1.17
Levofloxacin,76,278,0.28
Levothyroxine,212,166,1.43
Tamsulosin,170,30,6.01
Dopamine,380,283,1.23
Oseltamivir,494,57,7.14
Hydroxychloroquine,369,80,5.13
Norfloxacin,11,132,0.08
Loratadine,46,262,0.15
Clotrimazole,124,106,1.28
Ciprofloxacin,342,319,0.93
Amlodipine,393,107,4.15
Fentanyl,298,202,1.7
Ondansetron,54,187,0.32
Dopamine,77,54,1.52
Erythromycin,407,338,1.2
Carbamazepine,38,262,0.14
Ciprofloxacin,4,59,0.06
Amoxicillin,316,172,1.9
Lithium,386,253,1.45
Beclomethasone,352,42,8.98
Simvastatin,339,65,4.82
Haloperidol,37,246,0.14
Olanzapine,468,286,1.44
Cetirizine,304,360,0.78
Meropenem,483,20,26.72
Chloroquine,279,151,1.91
Codeine,242,131,1.93
Codeine,241,314,0.85
Ibuprofen,424,175,2.48
Rifampicin,198,266,0.88
Tramadol,404,286,1.24
Ivermectin,67,123,0.47
Diclofenac,144,304,0.55
Betamethasone,377,246,1.64
Levothyroxine,215,73,3.13
Oseltamivir,348,339,1.14
Artemether,267,233,1.31
Levofloxacin,51,101,0.54
Levothyroxine,403,319,1.19
Vancomycin,79,13,6.39
Montelukast,357,193,2.21
Norfloxacin,119,282,0.39
Olanzapine,374,270,1.41
Spironolactone,334,362,0.92
Phenylephrine,157,290,0.59
Clozapine,215,354,0.58
Sertraline,348,52,5.86
Granisetron,466,241,1.87
Diazepam,208,23,8.79
Linezolid,338,22,13.74
Morphine,7,82,0.09
Paracetamol,477,125,4.08
Doxycycline,462,24,22.78
Naproxen,152,31,4.18
Diazepam,484,131,4.23
Ceftriaxone,484,13,38.45
Atorvastatin,52,251,0.17
Ceftriaxone,384,304,1.29
Olanzapine,331,290,1.14
Calcium Carbonate,445,141,3.74
Ibuprofen,137,53,2.96
Codeine,186,324,0.5
Naloxone,339,146,2.64
Zinc Acetate,450,330,1.41
Pseudoephedrine,352,269,1.41
Chlorpheniramine,127,320,0.37
Oseltamivir,85,118,0.85
Levofloxacin,314,317,1.04
Olanzapine,352,89,3.51
Metronidazole,81,147,0.65
Salmeterol,412,165,2.87
Fluoxetine,120,239,0.59
Phenytoin,412,156,2.95
Risperidone,331,296,0.99
Ondansetron,54,85,0.59
Ethambutol,384,41,8.69
Doxycycline,238,354,0.65
Levothyroxine,455,315,1.68
Norfloxacin,176,327,0.62
Dexamethasone,207,99,1.84
Gabapentin,86,100,0.92
Levothyroxine,395,174,2.47
Naloxone,300,233,1.14
Rifampicin,233,37,7.28
Ivermectin,262,26,8.43
Phenytoin,164,318,0.56
Ibuprofen,333,113,3.5
Linezolid,393,351,1.08
Fentanyl,175,268,0.7
Simvastatin,66,187,0.36
Ondansetron,386,115,3.49
Fluoxetine,109,195,0.61
Alprazolam,231,297,0.77
Tinidazole,427,192,2.43
Clozapine,450,125,3.68
Tramadol,91,226,0.38
Ranitidine,449,203,2.31
Metronidazole,490,272,1.72
Gabapentin,189,293,0.66
Omeprazole,233,335,0.74
Erythromycin,70,125,0.58
Chlorpheniramine,135,24,6.08
Omeprazole,423,221,1.58
Nitrofurantoin,13,113,0.12
Chloroquine,426,255,1.61
Alprazolam,124,89,1.42
Erythromycin,62,250,0.24
Gabapentin,60,344,0.17
Ciprofloxacin,406,144,3.01
Insulin,230,276,0.95
Beclomethasone,99,144,0.8
Losartan,68,338,0.24
Spironolactone,493,34,11.91
Atorvastatin,173,12,14.61
Azithromycin,303,161,1.82
Fentanyl,374,103,4.01
Naproxen,97,140,0.83
Salmeterol,80,180,0.43
Beclomethasone,402,93,4.51
Carbamazepine,292,263,0.97
Lumefantrine,142,107,1.08
Azithromycin,255,353,0.69
Cefixime,432,186,2.44
Losartan,188,166,0.99
Diclofenac,496,331,1.44
Ibuprofen,488,363,1.28
Gabapentin,15,48,0.36
Insulin,219,259,0.81
Isoniazid,12,75,0.16
Morphine,115,52,1.95
Granisetron,280,132,2.12
Hydroxychloroquine,117,210,0.56
Ivermectin,458,176,2.62
Granisetron,87,242,0.31
Artemether,298,157,1.7
Spironolactone,109,322,0.3
Fluoxetine,444,234,2.18
Levofloxacin,447,71,5.45
Diclofenac,411,13,31.17
Lumefantrine,193,149,1.14
Clozapine,282,295,0.99
Erythromycin,386,134,2.63
Oseltamivir,223,306,0.85
Clotrimazole,203,77,2.87
Ranitidine,223,159,1.22
Ranitidine,491,202,2.65
Tamsulosin,10,178,0.05
Betamethasone,23,203,0.13
Ondansetron,344,301,1.11
Ondansetron,60,200,0.32
Clotrimazole,23,173,0.16
Ibuprofen,29,181,0.18
Gabapentin,278,162,1.38
Clozapine,178,326,0.65
Carbamazepine,276,253,1.07
Zinc Acetate,242,227,1.12
Chloroquine,380,24,18.73
Hydrochlorothiazide,406,257,1.53
Olanzapine,489,61,9.37
Nitrofurantoin,107,143,0.75
Clotrimazole,56,74,0.69
Loratadine,376,18,16.91
Zinc Acetate,236,109,2.56
Warfarin,354,180,1.71
Loratadine,434,123,3.07
Ibuprofen,139,311,0.38
Cyclizine,465,32,13.18
Morphine,353,312,1.05
Ranitidine,27,176,0.16
Tramadol,311,296,1.13
Hydrochlorothiazide,455,17,29.37
Midazolam,429,194,1.83
Prednisone,481,344,1.29
Chlorpheniramine,220,284,0.79
Prednisone,238,198,1.01
Budesonide,245,101,2.31
Pyrazinamide,243,37,6.78
Rifampicin,105,233,0.53
Azithromycin,121,87,1.27
Paracetamol,130,73,1.62
Azithromycin,99,203,0.58
Lithium,464,231,1.92
Levofloxacin,253,364,0.63
Chloroquine,225,218,1.16
Rifampicin,13,270,0.04
Noradrenaline,472,58,8.5
Fentanyl,229,329,0.72
Chloroquine,68,114,0.64
Lisinopril,142,47,2.6
Tramadol,45,40,1.12
Hydroxychloroquine,449,122,2.95
Erythromycin,40,174,0.23
Oseltamivir,460,92,5.58
Noradrenaline,118,212,0.49
Fentanyl,148,248,0.52
Lorazepam,48,17,2.92
Oseltamivir,60,304,0.21
Quetiapine,215,198,1.29
Olanzapine,343,343,0.99
Formoterol,497,146,3.22
Lorazepam,188,187,1.0
Cetirizine,211,82,2.49
Adrenaline,348,52,7.03
Chlorpheniramine,270,124,2.38
Noradrenaline,61,72,0.86
Tramadol,256,347,0.61
Cefixime,342,312,1.07
Carbamazepine,353,348,1.02
Hydroxychloroquine,203,50,4.23
Diazepam,142,216,0.71
Clozapine,153,129,1.12
Ibuprofen,352,213,1.33
Vancomycin,20,337,0.07
Spironolactone,171,136,1.23
Ondansetron,221,201,0.94
Ondansetron,277,254,0.91
Clopidogrel,5,96,0.05
Tinidazole,333,263,1.29
Pantoprazole,209,122,1.93
Budesonide,409,172,2.4
Ciprofloxacin,356,65,6.49
Levofloxacin,233,16,15.54
Pseudoephedrine,34,202,0.15
Ciprofloxacin,85,73,1.2
Lisinopril,372,12,26.35
Risperidone,251,67,3.09
Warfarin,422,47,9.03
Azithromycin,360,231,1.59
Granisetron,329,299,1.12
Lumefantrine,198,53,4.14
Adrenaline,367,211,1.41
Naproxen,284,21,12.24
Insulin,184,152,1.2
Loratadine,383,161,2.16
Vitamin D,212,109,1.63
Clopidogrel,408,295,1.32
Lithium,66,211,0.32
Pantoprazole,424,154,3.26
Rifampicin,443,67,5.88
Pantoprazole,164,295,0.46
Cetirizine,194,147,1.14
Lorazepam,138,239,0.53
Ceftriaxone,286,317,0.82
Midazolam,308,116,2.98
Prednisone,121,69,1.79
Hydrochlorothiazide,394,266,1.42
Amlodipine,201,193,0.96
Metformin,349,226,1.76
Lisinopril,440,96,4.28
Furosemide,259,297,0.72
Piperacillin,64,332,0.2
Carbamazepine,288,278,0.92
Beclomethasone,248,114,2.18
Mebendazole,253,289,0.98
Clotrimazole,358,18,18.02
Zinc Acetate,270,197,1.44
Gabapentin,95,361,0.23
Nitrofurantoin,314,161,1.96
Prednisone,299,261,1.34
Quetiapine,301,354,0.82
Pantoprazole,497,194,2.75
Granisetron,353,269,1.19
Tamsulosin,148,35,3.46
Sertraline,389,28,15.2
Amoxicillin,60,20,3.06
Lumefantrine,276,287,1.1
Midazolam,190,119,1.39
Azithromycin,149,291,0.59
Cyclizine,34,301,0.11
Clotrimazole,265,262,0.89
Acyclovir,114,116,1.11
Pyrazinamide,39,115,0.32
Lisinopril,90,166,0.6
Alprazolam,241,278,0.86
Beclomethasone,403,355,1.18
Isoniazid,339,72,5.21
Dopamine,175,195,1.0
Phenylephrine,141,273,0.59
Azithromycin,110,78,1.39
Acyclovir,492,202,2.69
Morphine,249,184,1.11
Quetiapine,17,289,0.06
Tazobactam,215,109,2.32
Oseltamivir,74,102,0.7
Vitamin D,208,232,0.93
